0.75,0.25,0.3
1.0,0.25,0.3
1.25,0.25,0.3
0.75,0.25,0.8
1.0,0.25,0.8
1.25,0.25,0.8
0.75,0.25,1.3
1.0,0.25,1.3
1.25,0.25,1.3
0.75,0.25,1.8
1.0,0.25,1.8
1.25,0.25,1.8
1.75,0.25,0.3
2.0,0.25,0.3
2.25,0.25,0.3
1.75,0.25,0.8
2.0,0.25,0.8
2.25,0.25,0.8
1.75,0.25,1.3
2.0,0.25,1.3
2.25,0.25,1.3
1.75,0.25,1.8
2.0,0.25,1.8
2.25,0.25,1.8
2.75,0.25,0.3
3.0,0.25,0.3
3.25,0.25,0.3
2.75,0.25,0.8
3.0,0.25,0.8
3.25,0.25,0.8
2.75,0.25,1.3
3.0,0.25,1.3
3.25,0.25,1.3
2.75,0.25,1.8
3.0,0.25,1.8
3.25,0.25,1.8
3.75,0.25,0.3
4.0,0.25,0.3
4.25,0.25,0.3
3.75,0.25,0.8
4.0,0.25,0.8
4.25,0.25,0.8
3.75,0.25,1.3
4.0,0.25,1.3
4.25,0.25,1.3
3.75,0.25,1.8
4.0,0.25,1.8
4.25,0.25,1.8
4.75,0.25,0.3
5.0,0.25,0.3
5.25,0.25,0.3
4.75,0.25,0.8
5.0,0.25,0.8
5.25,0.25,0.8
4.75,0.25,1.3
5.0,0.25,1.3
5.25,0.25,1.3
4.75,0.25,1.8
5.0,0.25,1.8
5.25,0.25,1.8
5.75,0.25,0.3
6.0,0.25,0.3
6.25,0.25,0.3
5.75,0.25,0.8
6.0,0.25,0.8
6.25,0.25,0.8
5.75,0.25,1.3
6.0,0.25,1.3
6.25,0.25,1.3
5.75,0.25,1.8
6.0,0.25,1.8
6.25,0.25,1.8
6.75,0.25,0.3
7.0,0.25,0.3
7.25,0.25,0.3
6.75,0.25,0.8
7.0,0.25,0.8
7.25,0.25,0.8
6.75,0.25,1.3
7.0,0.25,1.3
7.25,0.25,1.3
6.75,0.25,1.8
7.0,0.25,1.8
7.25,0.25,1.8
7.75,0.25,0.3
8.0,0.25,0.3
8.25,0.25,0.3
7.75,0.25,0.8
8.0,0.25,0.8
8.25,0.25,0.8
7.75,0.25,1.3
8.0,0.25,1.3
8.25,0.25,1.3
7.75,0.25,1.8
8.0,0.25,1.8
8.25,0.25,1.8
8.75,0.25,0.3
9.0,0.25,0.3
9.25,0.25,0.3
8.75,0.25,0.8
9.0,0.25,0.8
9.25,0.25,0.8
8.75,0.25,1.3
9.0,0.25,1.3
9.25,0.25,1.3
8.75,0.25,1.8
9.0,0.25,1.8
9.25,0.25,1.8
3.25,2.25,0.3
3.0,2.25,0.3
2.75,2.25,0.3
3.25,2.25,0.8
3.0,2.25,0.8
2.75,2.25,0.8
3.25,2.25,1.3
3.0,2.25,1.3
2.75,2.25,1.3
3.25,2.25,1.8
3.0,2.25,1.8
2.75,2.25,1.8
2.75,2.75,0.3
3.0,2.75,0.3
3.25,2.75,0.3
2.75,2.75,0.8
3.0,2.75,0.8
3.25,2.75,0.8
2.75,2.75,1.3
3.0,2.75,1.3
3.25,2.75,1.3
2.75,2.75,1.8
3.0,2.75,1.8
3.25,2.75,1.8
3.25,4.75,0.3
3.0,4.75,0.3
2.75,4.75,0.3
3.25,4.75,0.8
3.0,4.75,0.8
2.75,4.75,0.8
3.25,4.75,1.3
3.0,4.75,1.3
2.75,4.75,1.3
3.25,4.75,1.8
3.0,4.75,1.8
2.75,4.75,1.8
2.75,5.25,0.3
3.0,5.25,0.3
3.25,5.25,0.3
2.75,5.25,0.8
3.0,5.25,0.8
3.25,5.25,0.8
2.75,5.25,1.3
3.0,5.25,1.3
3.25,5.25,1.3
2.75,5.25,1.8
3.0,5.25,1.8
3.25,5.25,1.8
3.25,7.25,0.3
3.0,7.25,0.3
2.75,7.25,0.3
3.25,7.25,0.8
3.0,7.25,0.8
2.75,7.25,0.8
3.25,7.25,1.3
3.0,7.25,1.3
2.75,7.25,1.3
3.25,7.25,1.8
3.0,7.25,1.8
2.75,7.25,1.8
2.75,7.75,0.3
3.0,7.75,0.3
3.25,7.75,0.3
